frame,classe
99,bus
99,car
99,car
99,car
99,car
99,car
99,person
99,car
99,motorcycle
99,car
99,car
99,car
99,person
100,bus
100,bus
100,car
100,car
100,bus
100,bus
100,car
100,car
100,car
100,car
100,motorcycle
100,car
100,car
100,motorcycle
100,car
100,car
101,bus
101,bus
101,car
101,bus
101,car
101,bus
101,car
101,car
101,car
101,car
101,car
101,motorcycle
101,car
101,motorcycle
101,person
101,car
101,person
101,car
102,bus
102,bus
102,car
102,car
102,bus
102,car
102,bus
102,car
102,car
102,person
102,car
102,car
102,car
102,person
102,car
102,motorcycle
102,car
102,truck
103,bus
103,bus
103,car
103,car
103,bus
103,bus
103,car
103,car
103,car
103,car
103,car
103,car
103,car
103,car
103,motorcycle
103,car
104,bus
104,bus
104,car
104,car
104,bus
104,bus
104,car
104,car
104,car
104,car
104,motorcycle
104,car
104,car
104,car
104,person
104,car
104,car
104,car
105,bus
105,bus
105,car
105,bus
105,bus
105,car
105,car
105,car
105,car
105,person
105,person
105,person
105,car
105,car
105,car
105,car
105,motorcycle
105,car
105,car
106,bus
106,bus
106,car
106,bus
106,bus
106,car
106,car
106,car
106,car
106,person
106,car
106,car
106,person
106,car
106,person
106,car
106,person
106,car
107,bus
107,bus
107,car
107,bus
107,car
107,bus
107,car
107,car
107,car
107,car
107,car
107,person
107,person
107,car
107,truck
107,car
107,car
107,car
107,person
107,car
108,bus
108,bus
108,car
108,car
108,car
108,bus
108,car
108,bus
108,car
108,car
108,truck
108,person
108,car
108,car
108,car
108,car
108,car
108,car
109,bus
109,car
109,car
109,car
109,car
109,bus
109,car
109,bus
109,truck
109,car
109,car
109,car
109,car
109,car
109,car
109,car
109,person
109,car
109,car
109,person
110,bus
110,car
110,car
110,car
110,car
110,car
110,car
110,bus
110,person
110,car
110,car
110,car
110,car
110,car
110,person
110,car
110,car
110,car
111,bus
111,car
111,car
111,bus
111,car
111,car
111,car
111,car
111,car
111,car
111,person
111,car
111,car
111,person
111,car
111,car
111,person
111,car
111,car
111,car
112,bus
112,car
112,car
112,car
112,car
112,bus
112,car
112,car
112,person
112,car
112,car
112,truck
112,car
112,car
112,car
112,car
112,car
112,car
113,bus
113,car
113,car
113,car
113,car
113,car
113,bus
113,car
113,car
113,truck
113,car
113,person
113,truck
113,person
113,truck
113,car
113,person
113,car
113,car
113,car
114,bus
114,car
114,car
114,car
114,car
114,car
114,bus
114,person
114,car
114,car
114,truck
114,car
114,person
114,car
114,car
114,car
114,car
115,bus
115,car
115,car
115,car
115,car
115,bus
115,car
115,car
115,car
115,truck
115,car
115,car
115,truck
115,person
115,car
115,person
115,car
115,truck
116,bus
116,car
116,car
116,car
116,car
116,bus
116,car
116,car
116,person
116,car
116,car
116,car
116,car
116,truck
116,car
116,person
117,bus
117,car
117,car
117,car
117,car
117,car
117,car
117,car
117,car
117,car
117,person
117,bus
117,person
117,car
117,truck
117,car
117,car
118,bus
118,car
118,car
118,car
118,car
118,car
118,car
118,car
118,person
118,car
118,bus
118,person
118,car
118,car
118,car
119,bus
119,car
119,car
119,car
119,car
119,car
119,car
119,car
119,car
119,person
119,car
119,car
119,person
119,car
119,car
119,car
120,bus
120,car
120,car
120,car
120,car
120,car
120,car
120,car
120,car
120,car
120,person
120,car
120,car
120,person
120,car
120,car
121,bus
121,car
121,car
121,car
121,car
121,car
121,car
121,car
121,truck
121,car
121,car
121,car
121,person
121,car
121,truck
121,person
121,car
121,car
121,car
122,car
122,bus
122,car
122,car
122,car
122,car
122,car
122,car
122,car
122,car
122,person
122,car
122,truck
122,car
122,car
122,car
122,car
123,car
123,car
123,bus
123,car
123,car
123,car
123,car
123,car
123,person
123,car
123,car
123,car
123,truck
123,person
